id,character,bucket
0001,一,一级字表
0002,乙,一级字表
0003,二,一级字表
0004,十,一级字表
0005,丁,一级字表
0006,厂,一级字表
0007,七,一级字表
0008,卜,一级字表
0009,八,一级字表
0010,人,一级字表
0011,入,一级字表
0012,儿,一级字表
0013,匕,一级字表
0014,几,一级字表
0015,九,一级字表
0016,刁,一级字表
0017,了,一级字表
0018,刀,一级字表
0019,力,一级字表
0020,乃,一级字表
0021,又,一级字表
0022,三,一级字表
0023,干,一级字表
0024,于,一级字表
0025,亏,一级字表
0026,工,一级字表
0027,土,一级字表
0028,士,一级字表
0029,才,一级字表
0030,下,一级字表
0031,寸,一级字表
0032,大,一级字表
0033,丈,一级字表
0034,与,一级字表
0205,甘,一级字表
0206,世,一级字表
0207,艾,一级字表
0208,古,一级字表
0209,节,一级字表
0210,本,一级字表
0211,术,一级字表
0212,可,一级字表
0213,丙,一级字表
0214,左,一级字表
0215,厉,一级字表
0216,石,一级字表
0217,右,一级字表
0218,布,一级字表
0219,夯,一级字表
0220,戊,一级字表
0221,龙,一级字表
0222,平,一级字表
0223,灭,一级字表
0224,轧,一级字表
0225,东,一级字表
0226,卡,一级字表
0227,北,一级字表
0228,占,一级字表
0229,凸,一级字表
0230,卢,一级字表
0231,业,一级字表
0232,旧,一级字表
0233,帅,一级字表
0234,归,一级字表
0235,旦,一级字表
0236,目,一级字表
0237,且,一级字表
0238,叶,一级字表
0239,甲,一级字表
0240,申,一级字表
0241,叮,一级字表
0242,电,一级字表
0433,吆,一级字表
0434,屿,一级字表
0435,屹,一级字表
0436,岁,一级字表
0437,帆,一级字表
0438,回,一级字表
0439,岂,一级字表
0440,则,一级字表
0441,刚,一级字表
0442,网,一级字表
0443,肉,一级字表
0444,年,一级字表
0445,朱,一级字表
0446,先,一级字表
0447,丢,一级字表
0448,廷,一级字表
0449,舌,一级字表
0450,竹,一级字表
0451,迁,一级字表
0452,乔,一级字表
0453,迄,一级字表
0454,伟,一级字表
0455,传,一级字表
0456,乒,一级字表
0457,乓,一级字表
0458,休,一级字表
0459,伍,一级字表
0460,伏,一级字表
0461,优,一级字表
0462,臼,一级字表
0463,伐,一级字表
0464,延,一级字表
0465,仲,一级字表
0466,件,一级字表
0467,任,一级字表
0468,伤,一级字表
0469,价,一级字表
0470,伦,一级字表
0661,芙,一级字表
0662,芜,一级字表
0663,苇,一级字表
0664,芽,一级字表
0665,花,一级字表
0666,芹,一级字表
0667,芥,一级字表
0668,芬,一级字表
0669,苍,一级字表
0670,芳,一级字表
0671,严,一级字表
0672,芦,一级字表
0673,芯,一级字表
0674,劳,一级字表
0675,克,一级字表
0676,芭,一级字表
0677,苏,一级字表
0678,杆,一级字表
0679,杠,一级字表
0680,杜,一级字表
0681,材,一级字表
0682,村,一级字表
0683,杖,一级字表
0684,杏,一级字表
0685,杉,一级字表
0686,巫,一级字表
0687,极,一级字表
0688,李,一级字表
0689,杨,一级字表
0690,求,一级字表
0691,甫,一级字表
0692,匣,一级字表
0693,更,一级字表
0694,束,一级字表
0695,吾,一级字表
0696,豆,一级字表
0697,两,一级字表
0698,酉,一级字表
0889,初,一级字表
0890,社,一级字表
0891,祀,一级字表
0892,识,一级字表
0893,诈,一级字表
0894,诉,一级字表
0895,罕,一级字表
0896,诊,一级字表
0897,词,一级字表
0898,译,一级字表
0899,君,一级字表
0900,灵,一级字表
0901,即,一级字表
0902,层,一级字表
0903,屁,一级字表
0904,尿,一级字表
0905,尾,一级字表
0906,迟,一级字表
0907,局,一级字表
0908,改,一级字表
0909,张,一级字表
0910,忌,一级字表
0911,际,一级字表
0912,陆,一级字表
0913,阿,一级字表
0914,陈,一级字表
0915,阻,一级字表
0916,附,一级字表
0917,坠,一级字表
0918,妓,一级字表
0919,妙,一级字表
0920,妖,一级字表
0921,姊,一级字表
0922,妨,一级字表
0923,妒,一级字表
0924,努,一级字表
0925,忍,一级字表
0926,劲,一级字表
1117,购,一级字表
1118,贮,一级字表
1119,图,一级字表
1120,钓,一级字表
1121,制,一级字表
1122,知,一级字表
1123,迭,一级字表
1124,氛,一级字表
1125,垂,一级字表
1126,牧,一级字表
1127,物,一级字表
1128,乖,一级字表
1129,刮,一级字表
1130,秆,一级字表
1131,和,一级字表
1132,季,一级字表
1133,委,一级字表
1134,秉,一级字表
1135,佳,一级字表
1136,侍,一级字表
1137,岳,一级字表
1138,供,一级字表
1139,使,一级字表
1140,例,一级字表
1141,侠,一级字表
1142,侥,一级字表
1143,版,一级字表
1144,侄,一级字表
1145,侦,一级字表
1146,侣,一级字表
1147,侧,一级字表
1148,凭,一级字表
1149,侨,一级字表
1150,佩,一级字表
1151,货,一级字表
1152,侈,一级字表
1153,依,一级字表
1154,卑,一级字表
1345,驻,一级字表
1346,绊,一级字表
1347,驼,一级字表
1348,绍,一级字表
1349,绎,一级字表
1350,经,一级字表
1351,贯,一级字表
1352,契,一级字表
1353,贰,一级字表
1354,奏,一级字表
1355,春,一级字表
1356,帮,一级字表
1357,玷,一级字表
1358,珍,一级字表
1359,玲,一级字表
1360,珊,一级字表
1361,玻,一级字表
1362,毒,一级字表
1363,型,一级字表
1364,拭,一级字表
1365,挂,一级字表
1366,封,一级字表
1367,持,一级字表
1368,拷,一级字表
1369,拱,一级字表
1370,项,一级字表
1371,垮,一级字表
1372,挎,一级字表
1373,城,一级字表
1374,挟,一级字表
1375,挠,一级字表
1376,政,一级字表
1377,赴,一级字表
1378,赵,一级字表
1379,挡,一级字表
1380,拽,一级字表
1381,哉,一级字表
1382,挺,一级字表
1573,鬼,一级字表
1574,侵,一级字表
1575,禹,一级字表
1576,侯,一级字表
1577,追,一级字表
1578,俊,一级字表
1579,盾,一级字表
1580,待,一级字表
1581,徊,一级字表
1582,衍,一级字表
1583,律,一级字表
1584,很,一级字表
1585,须,一级字表
1586,叙,一级字表
1587,剑,一级字表
1588,逃,一级字表
1589,食,一级字表
1590,盆,一级字表
1591,胚,一级字表
1592,胧,一级字表
1593,胆,一级字表
1594,胜,一级字表
1595,胞,一级字表
1596,胖,一级字表
1597,脉,一级字表
1598,胎,一级字表
1599,勉,一级字表
1600,狭,一级字表
1601,狮,一级字表
1602,独,一级字表
1603,狰,一级字表
1604,狡,一级字表
1605,狱,一级字表
1606,狠,一级字表
1607,贸,一级字表
1608,怨,一级字表
1609,急,一级字表
1610,饵,一级字表
1801,都,一级字表
1802,哲,一级字表
1803,逝,一级字表
1804,捡,一级字表
1805,挫,一级字表
1806,换,一级字表
1807,挽,一级字表
1808,挚,一级字表
1809,热,一级字表
1810,恐,一级字表
1811,捣,一级字表
1812,壶,一级字表
1813,捅,一级字表
1814,埃,一级字表
1815,挨,一级字表
1816,耻,一级字表
1817,耿,一级字表
1818,耽,一级字表
1819,聂,一级字表
1820,恭,一级字表
1821,莽,一级字表
1822,莱,一级字表
1823,莲,一级字表
1824,莫,一级字表
1825,莉,一级字表
1826,荷,一级字表
1827,获,一级字表
1828,晋,一级字表
1829,恶,一级字表
1830,莹,一级字表
1831,莺,一级字表
1832,真,一级字表
1833,框,一级字表
1834,梆,一级字表
1835,桂,一级字表
1836,桔,一级字表
1837,栖,一级字表
1838,档,一级字表
2029,斋,一级字表
2030,疹,一级字表
2031,疼,一级字表
2032,疲,一级字表
2033,脊,一级字表
2034,效,一级字表
2035,离,一级字表
2036,紊,一级字表
2037,唐,一级字表
2038,瓷,一级字表
2039,资,一级字表
2040,凉,一级字表
2041,站,一级字表
2042,剖,一级字表
2043,竞,一级字表
2044,部,一级字表
2045,旁,一级字表
2046,旅,一级字表
2047,畜,一级字表
2048,阅,一级字表
2049,羞,一级字表
2050,羔,一级字表
2051,瓶,一级字表
2052,拳,一级字表
2053,粉,一级字表
2054,料,一级字表
2055,益,一级字表
2056,兼,一级字表
2057,烤,一级字表
2058,烘,一级字表
2059,烦,一级字表
2060,烧,一级字表
2061,烛,一级字表
2062,烟,一级字表
2063,烙,一级字表
2064,递,一级字表
2065,涛,一级字表
2066,浙,一级字表
2257,常,一级字表
2258,眶,一级字表
2259,匙,一级字表
2260,晨,一级字表
2261,睁,一级字表
2262,眯,一级字表
2263,眼,一级字表
2264,悬,一级字表
2265,野,一级字表
2266,啪,一级字表
2267,啦,一级字表
2268,曼,一级字表
2269,晦,一级字表
2270,晚,一级字表
2271,啄,一级字表
2272,啡,一级字表
2273,距,一级字表
2274,趾,一级字表
2275,啃,一级字表
2276,跃,一级字表
2277,略,一级字表
2278,蚯,一级字表
2279,蛀,一级字表
2280,蛇,一级字表
2281,唬,一级字表
2282,累,一级字表
2283,鄂,一级字表
2284,唱,一级字表
2285,患,一级字表
2286,啰,一级字表
2287,唾,一级字表
2288,唯,一级字表
2289,啤,一级字表
2290,啥,一级字表
2291,啸,一级字表
2292,崖,一级字表
2293,崎,一级字表
2294,崭,一级字表
2485,颈,一级字表
2486,绩,一级字表
2487,绪,一级字表
2488,续,一级字表
2489,骑,一级字表
2490,绰,一级字表
2491,绳,一级字表
2492,维,一级字表
2493,绵,一级字表
2494,绷,一级字表
2495,绸,一级字表
2496,综,一级字表
2497,绽,一级字表
2498,绿,一级字表
2499,缀,一级字表
2500,巢,一级字表
2501,琴,一级字表
2502,琳,一级字表
2503,琢,一级字表
2504,琼,一级字表
2505,斑,一级字表
2506,替,一级字表
2507,揍,一级字表
2508,款,一级字表
2509,堪,一级字表
2510,塔,一级字表
2511,搭,一级字表
2512,堰,一级字表
2513,揩,一级字表
2514,越,一级字表
2515,趁,一级字表
2516,趋,一级字表
2517,超,一级字表
2518,揽,一级字表
2519,堤,一级字表
2520,提,一级字表
2521,博,一级字表
2522,揭,一级字表
2713,脾,一级字表
2714,腋,一级字表
2715,腔,一级字表
2716,腕,一级字表
2717,鲁,一级字表
2718,猩,一级字表
2719,猬,一级字表
2720,猾,一级字表
2721,猴,一级字表
2722,惫,一级字表
2723,然,一级字表
2724,馈,一级字表
2725,馋,一级字表
2726,装,一级字表
2727,蛮,一级字表
2728,就,一级字表
2729,敦,一级字表
2730,斌,一级字表
2731,痘,一级字表
2732,痢,一级字表
2733,痪,一级字表
2734,痛,一级字表
2735,童,一级字表
2736,竣,一级字表
2737,阔,一级字表
2738,善,一级字表
2739,翔,一级字表
2740,羡,一级字表
2741,普,一级字表
2742,粪,一级字表
2743,尊,一级字表
2744,奠,一级字表
2745,道,一级字表
2746,遂,一级字表
2747,曾,一级字表
2748,焰,一级字表
2749,港,一级字表
2750,滞,一级字表
2941,锥,一级字表
2942,锦,一级字表
2943,键,一级字表
2944,锯,一级字表
2945,锰,一级字表
2946,矮,一级字表
2947,辞,一级字表
2948,稚,一级字表
2949,稠,一级字表
2950,颓,一级字表
2951,愁,一级字表
2952,筹,一级字表
2953,签,一级字表
2954,简,一级字表
2955,筷,一级字表
2956,毁,一级字表
2957,舅,一级字表
2958,鼠,一级字表
2959,催,一级字表
2960,傻,一级字表
2961,像,一级字表
2962,躲,一级字表
2963,魁,一级字表
2964,衙,一级字表
2965,微,一级字表
2966,愈,一级字表
2967,遥,一级字表
2968,腻,一级字表
2969,腰,一级字表
2970,腥,一级字表
2971,腮,一级字表
2972,腹,一级字表
2973,腺,一级字表
2974,鹏,一级字表
2975,腾,一级字表
2976,腿,一级字表
2977,鲍,一级字表
2978,猿,一级字表
3169,慢,一级字表
3170,慷,一级字表
3171,寨,一级字表
3172,赛,一级字表
3173,寡,一级字表
3174,察,一级字表
3175,蜜,一级字表
3176,寥,一级字表
3177,谭,一级字表
3178,肇,一级字表
3179,褐,一级字表
3180,褪,一级字表
3181,谱,一级字表
3182,隧,一级字表
3183,嫩,一级字表
3184,翠,一级字表
3185,熊,一级字表
3186,凳,一级字表
3187,骡,一级字表
3188,缩,一级字表
3189,慧,一级字表
3190,撵,一级字表
3191,撕,一级字表
3192,撒,一级字表
3193,撩,一级字表
3194,趣,一级字表
3195,趟,一级字表
3196,撑,一级字表
3197,撮,一级字表
3198,撬,一级字表
3199,播,一级字表
3200,擒,一级字表
3201,墩,一级字表
3202,撞,一级字表
3203,撤,一级字表
